UF,SITUACAO,ESGOTO,n,p
50,Urbano,5,0,0
51,Urbano,5,280.47425529994445,0.009560115216205138
52,Urbano,5,1229.360864629144,0.019005208861455816
53,Urbano,5,1021.8959955178047,0.03585921770184583
11,Rural,5,3756.0689633612565,0.9100768648863301
12,Rural,5,42114.80677904209,18.149646968219347
13,Rural,5,119816.68042895259,17.2636165854565
14,Rural,5,3843.3882238297856,4.403608807703902
15,Rural,5,261964.6878860655,11.014227723968109
16,Rural,5,731.8954408734963,0.7586126382397397
17,Rural,5,16577.535514662926,5.97576092603983
21,Rural,5,391366.92913067323,17.648675699003018
22,Rural,5,31955.492837841342,2.8376538936325075
23,Rural,5,105794.49438762093,4.791924914748974
24,Rural,5,27369.63405204354,3.8564563489741435
25,Rural,5,73360.39007053293,8.480067970207513
26,Rural,5,193300.53275750842,12.132676710005459
27,Rural,5,63218.088725718015,7.882211903493137
28,Rural,5,12450.049649969997,2.493345730720891
29,Rural,5,179161.68197149018,4.326636013674496
31,Rural,5,76027.0178510635,2.7847796989087983
32,Rural,5,15127.613768454064,2.712002951320538
33,Rural,5,31135.432248172976,6.9212112297496
35,Rural,5,29521.161574129925,1.6471510051078786
41,Rural,5,11760.032790852929,0.8589657892110746
42,Rural,5,14168.887225455592,1.410907231098616
43,Rural,5,25765.56016735679,1.717794399142864
50,Rural,5,1400.166839159083,0.5567274960902574
51,Rural,5,5002.289447781017,1.0066948971032563
52,Rural,5,4246.9345486186585,0.7694321163170765
53,Rural,5,801.6798649286372,0.49190736432032467
11,Urbano,6,5568.852145330188,0.41129834004851035
12,Urbano,6,18998.40031640546,2.999526477906929
13,Urbano,6,219065.4439202861,6.660622729630927
14,Urbano,6,0,0
15,Urbano,6,84389.85714584793,1.3649403810574763
16,Urbano,6,103774.78525396118,14.002864171910428
17,Urbano,6,614.318309543311,0.047909625029358194
21,Urbano,6,52389.00908975359,1.086217678856042
22,Urbano,6,5163.830406748327,0.24058958831084676
23,Urbano,6,42412.659554665544,0.6127569739807414
24,Urbano,6,26198.36998258937,0.9366115556506751
25,Urbano,6,20493.661679182613,0.6543958254873241
26,Urbano,6,169775.22862125322,2.1473719117257213
27,Urbano,6,69230.54976340482,2.738502433415412
28,Urbano,6,26979.28962980021,1.4995009231485754
29,Urbano,6,100274.98662654862,0.9360461208451243
31,Urbano,6,398741.7201080989,2.1637746830389246
32,Urbano,6,54724.75214671248,1.5829561297480534
33,Urbano,6,177967.64777314375,1.058414275279973
35,Urbano,6,906718.8556445829,2.0551003727305623
41,Urbano,6,63720.782916813696,0.6339447320030281
42,Urbano,6,27061.974937435192,0.4401187385292001
43,Urbano,6,54121.76068757445,0.5489732301402815
50,Urbano,6,0,0
51,Urbano,6,12926.164289254622,0.4405952331586245
52,Urbano,6,830.0542045430489,0.012832158544780984
53,Urbano,6,0,0
11,Rural,6,333.56654879964685,0.08082151896670016
12,Rural,6,4798.63265932111,2.068001621229964
13,Rural,6,53396.683294602604,7.693585434289166
14,Rural,6,451.32674674668885,0.5171131099386143
15,Rural,6,276600.1780545425,11.629572573948847
16,Rural,6,11466.956624740289,11.885547759790537
17,Rural,6,0,0
21,Rural,6,4374.221238335095,0.1972553282479611
22,Rural,6,2158.25618341168,0.19165356307890083
23,Rural,6,12180.421489383765,0.5517079650030589
24,Rural,6,562.3836300496348,0.0792413927252384
25,Rural,6,4536.65844582819,0.5244134053983439
26,Rural,6,30499.360499124778,1.9143189908431237
27,Rural,6,12723.311610597566,1.5863788395125278
28,Rural,6,2903.6077098258147,0.5814995193211865
29,Rural,6,48422.68465111221,1.1693757782629213
31,Rural,6,431920.1998733001,15.82072581765709
32,Rural,6,39631.44684255165,7.104927614309845
33,Rural,6,16360.757470887027,3.636893730337007
35,Rural,6,42538.30040296057,2.3734501126716747
41,Rural,6,5824.4134476484605,0.42542159386173795
42,Rural,6,8704.671783349913,0.8667924423453496
43,Rural,6,6438.781530126056,0.4292746898539378
50,Rural,6,353.50827899433386,0.1405602343288541
51,Rural,6,1050.4354008299988,0.21139679516571344
52,Rural,6,3826.833365425373,0.6933209027461368
53,Rural,6,0,0
11,Urbano,7,258.5586825023754,0.019096351302401372
12,Urbano,7,171.38531735471375,0.02705884646961739
13,Urbano,7,20804.576197072358,0.6325572423416188
14,Urbano,7,0,0
15,Urbano,7,9529.041946457706,0.15412485084590044
16,Urbano,7,0,0
17,Urbano,7,3714.6363093471587,0.2896980766104193
21,Urbano,7,3119.4413922573185,0.06467754300563622
22,Urbano,7,1061.2705913965426,0.0494459799331956
23,Urbano,7,13508.210072525166,0.19515988893052486
24,Urbano,7,4385.494835434466,0.15678475961840366
25,Urbano,7,6041.97061602825,0.19292991222072625
26,Urbano,7,33612.5373326539,0.4251422256128685
27,Urbano,7,3027.2516767882207,0.11974678970161211
28,Urbano,7,6980.816193399865,0.3879916954807954
29,Urbano,7,15354.806377419814,0.14333392034685624
31,Urbano,7,4566.703203575673,0.024781246301919364
32,Urbano,7,6144.811711135432,0.17774347041741315
33,Urbano,7,17010.69968999258,0.10116651880087225
35,Urbano,7,61751.04469545712,0.13996024697194542
41,Urbano,7,0,0
42,Urbano,7,11918.271006836343,0.19383117503822103
43,Urbano,7,8741.389837712111,0.0886665354962478
50,Urbano,7,0,0
51,Urbano,7,1553.5332896529114,0.05295301426296349
52,Urbano,7,1546.7599687553263,0.023912015674585316
53,Urbano,7,0,0
11,Rural,7,789.5686144687027,0.19130855590715332
12,Rural,7,9032.055220024067,3.8924223136285785
13,Rural,7,34224.388659636934,4.93117253437817
14,Rural,7,0,0
15,Rural,7,52959.51562551938,2.226667151048282
16,Rural,7,568.2628927765347,0.5890068283366514
17,Rural,7,1916.79486533353,0.690953600995907
21,Rural,7,11092.69102931946,0.5002244493180802
22,Rural,7,4644.790964305014,0.41245832858384945
23,Rural,7,13889.403031574266,0.6291156909747331
24,Rural,7,2953.5189602073624,0.41615890531268385
25,Rural,7,4583.301467112682,0.5298050887092973
26,Rural,7,15964.258792738545,1.0020106415854422
27,Rural,7,5640.04663801759,0.7032171272896035
28,Rural,7,4406.898162886853,0.8825603936593259
29,Rural,7,23202.136757111017,0.5603162427526877
31,Rural,7,13520.92284310439,0.4952554040426911
32,Rural,7,730.1620178164627,0.13089979540525834
33,Rural,7,680.3456989945618,0.15123658006287405
35,Rural,7,11225.226197802982,0.626318262167481
41,Rural,7,0,0
42,Rural,7,1221.2498497585832,0.12160942610276713
43,Rural,7,1330.4033206622262,0.08869822188962283
50,Rural,7,0,0
51,Rural,7,1456.6976272854731,0.2931557806318494
52,Rural,7,5450.570120655302,0.9874990196009744
53,Rural,7,0,0
11,Urbano,99,2336.3293241821343,0.17255411847279248
12,Urbano,99,4728.440072280052,0.7465408118468178
13,Urbano,99,5373.101233581806,0.16336762003424704
14,Urbano,99,185.08973754379022,0.040907167700204895
15,Urbano,99,16602.970337201714,0.26854014718356567
16,Urbano,99,0,0
17,Urbano,99,2969.4690609864188,0.23158376860670402
21,Urbano,99,40270.79650312595,0.8349623683160072
22,Urbano,99,30618.348527512208,1.4265487606574694
23,Urbano,99,17657.8621712301,0.2551119949708912
24,Urbano,99,2785.760341224558,0.09959304065857022
25,Urbano,99,6598.926156374582,0.2107144051185915
26,Urbano,99,21217.192275217545,0.268361898891194
27,Urbano,99,329.6621578110867,0.013040205869459167
28,Urbano,99,1496.0012706536668,0.08314730732935267
29,Urbano,99,25095.175371117886,0.234258236757957
31,Urbano,99,12592.447435247363,0.06833300250222113
32,Urbano,99,2132.4807864697723,0.061683669639334526
33,Urbano,99,707.7063709881909,0.004208891532439082
35,Urbano,99,0,0
41,Urbano,99,4563.026393129583,0.04539659450970106
42,Urbano,99,2561.5518906660836,0.04165944981485866
43,Urbano,99,3295.3174274013245,0.033425391736625384
50,Urbano,99,0,0
51,Urbano,99,812.5441963071027,0.027696004136448973
52,Urbano,99,0,0
53,Urbano,99,0,0
11,Rural,99,84.82634835648965,0.020553003133080356
12,Rural,99,29895.983516894124,12.88386646164911
13,Rural,99,71654.38161603267,10.324220020606228
14,Rural,99,3431.4254462203758,3.931597444220236
15,Rural,99,52885.25455926461,2.223544866509266
16,Rural,99,0,0
17,Rural,99,26597.248436353355,9.587601112695674
21,Rural,99,246106.43896829002,11.098159822639477
22,Rural,99,269130.4085780165,23.89883190572959
23,Rural,99,130526.92522860161,5.912171788040605
24,Rural,99,5228.638950383447,0.7367295389612347
25,Rural,99,35416.378180601845,4.093943529216789
26,Rural,99,85958.50856847024,5.3952608410230765
27,Rural,99,29067.350218108062,3.6242002646778526
28,Rural,99,17323.19136241313,3.469279757132365
29,Rural,99,168551.4335084079,4.07040553732905
31,Rural,99,38524.49920294196,1.4111068186463167
32,Rural,99,389.0821081898417,0.06975269476520359
33,Rural,99,1047.7898529588526,0.2329171099637468
35,Rural,99,1636.080982489183,0.0912861246322544
41,Rural,99,280.27473313469045,0.020471576195792384
42,Rural,99,0,0
43,Rural,99,2696.7197469646176,0.17979077680844407
50,Rural,99,154.22754350381788,0.06132320215110901
51,Rural,99,2997.061219537086,0.6031490715421164
52,Rural,99,3235.8472945104704,0.5862498711462104
53,Rural,99,0,0
