ANO,UF,SITUACAO,ADEQUACAO,AGUA,ESGOTO,LIXO,DOMICILIOS
2010,12,Urbano,Inadequado,Adequado,Adequado,Adequado,0
2010,12,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
2010,12,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
2010,12,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
2010,12,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
2010,12,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
2010,12,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
2010,12,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,12109
2010,12,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
2010,12,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,4538
2010,12,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,28483
2010,12,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,14350
2010,12,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,22252
2010,12,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,3317
2010,12,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,21463
2010,12,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,13,Rural,Adequado,Adequado,Adequado,Adequado,1208
2010,13,Rural,Adequado,Adequado,Adequado,Inadequado,0
2010,13,Rural,Adequado,Adequado,Inadequado,Adequado,0
2010,13,Rural,Adequado,Adequado,Inadequado,Inadequado,0
2010,13,Rural,Adequado,Inadequado,Adequado,Adequado,0
2010,13,Rural,Adequado,Inadequado,Adequado,Inadequado,0
2010,13,Rural,Adequado,Inadequado,Inadequado,Adequado,0
2010,13,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
2010,13,Rural,Inadequado,Adequado,Adequado,Adequado,0
2010,13,Rural,Inadequado,Adequado,Adequado,Inadequado,0
2010,13,Rural,Inadequado,Adequado,Inadequado,Adequado,0
2010,13,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
2010,13,Rural,Inadequado,Inadequado,Adequado,Adequado,0
2010,13,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
2010,13,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
2010,13,Rural,Inadequado,Inadequado,Inadequado,Inadequado,93547
2010,13,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
2010,13,Rural,Semi-adequado,Adequado,Adequado,Inadequado,579
2010,13,Rural,Semi-adequado,Adequado,Inadequado,Adequado,2471
2010,13,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,9586
2010,13,Rural,Semi-adequado,Inadequado,Adequado,Adequado,557
2010,13,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,4839
2010,13,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,2780
2010,13,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,13,Urbano,Adequado,Adequado,Adequado,Adequado,261627
2010,13,Urbano,Adequado,Adequado,Adequado,Inadequado,0
2010,13,Urbano,Adequado,Adequado,Inadequado,Adequado,0
2010,13,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
2010,13,Urbano,Adequado,Inadequado,Adequado,Adequado,0
2010,13,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
2010,13,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
2010,13,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
2010,13,Urbano,Inadequado,Adequado,Adequado,Adequado,0
2010,13,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
2010,13,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
2010,13,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
2010,13,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
2010,13,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
2010,13,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
2010,13,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,22006
2010,13,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
2010,13,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,18548
2010,13,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,177975
2010,13,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,44586
2010,13,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,66682
2010,13,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,7439
2010,13,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,64483
2010,13,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,14,Rural,Adequado,Adequado,Adequado,Adequado,432
2010,14,Rural,Adequado,Adequado,Adequado,Inadequado,0
2010,14,Rural,Adequado,Adequado,Inadequado,Adequado,0
2010,14,Rural,Adequado,Adequado,Inadequado,Inadequado,0
2010,14,Rural,Adequado,Inadequado,Adequado,Adequado,0
2010,14,Rural,Adequado,Inadequado,Adequado,Inadequado,0
2010,14,Rural,Adequado,Inadequado,Inadequado,Adequado,0
2010,14,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
2010,14,Rural,Inadequado,Adequado,Adequado,Adequado,0
2010,14,Rural,Inadequado,Adequado,Adequado,Inadequado,0
2010,14,Rural,Inadequado,Adequado,Inadequado,Adequado,0
2010,14,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
2010,14,Rural,Inadequado,Inadequado,Adequado,Adequado,0
2010,14,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
2010,14,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
2010,14,Rural,Inadequado,Inadequado,Inadequado,Inadequado,11018
2010,14,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
2010,14,Rural,Semi-adequado,Adequado,Adequado,Inadequado,860
2010,14,Rural,Semi-adequado,Adequado,Inadequado,Adequado,784
2010,14,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,3168
2010,14,Rural,Semi-adequado,Inadequado,Adequado,Adequado,82
2010,14,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,1674
2010,14,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,175
2010,14,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,14,Urbano,Adequado,Adequado,Adequado,Adequado,46395
2010,14,Urbano,Adequado,Adequado,Adequado,Inadequado,0
2010,14,Urbano,Adequado,Adequado,Inadequado,Adequado,0
2010,14,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
2010,14,Urbano,Adequado,Inadequado,Adequado,Adequado,0
2010,14,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
2010,14,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
2010,14,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
2010,14,Urbano,Inadequado,Adequado,Adequado,Adequado,0
2010,14,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
2010,14,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
2010,14,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
2010,14,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
2010,14,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
2010,14,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
2010,14,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,884
2010,14,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
2010,14,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,2689
2010,14,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,38065
2010,14,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,2852
2010,14,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,504
2010,14,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,478
2010,14,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,1963
2010,14,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,15,Rural,Adequado,Adequado,Adequado,Adequado,11829
2010,15,Rural,Adequado,Adequado,Adequado,Inadequado,0
2010,15,Rural,Adequado,Adequado,Inadequado,Adequado,0
2010,15,Rural,Adequado,Adequado,Inadequado,Inadequado,0
2010,15,Rural,Adequado,Inadequado,Adequado,Adequado,0
2010,15,Rural,Adequado,Inadequado,Adequado,Inadequado,0
2010,15,Rural,Adequado,Inadequado,Inadequado,Adequado,0
2010,15,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
2010,15,Rural,Inadequado,Adequado,Adequado,Adequado,0
2010,15,Rural,Inadequado,Adequado,Adequado,Inadequado,0
2010,15,Rural,Inadequado,Adequado,Inadequado,Adequado,0
2010,15,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
2010,15,Rural,Inadequado,Inadequado,Adequado,Adequado,0
2010,15,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
2010,15,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
2010,15,Rural,Inadequado,Inadequado,Inadequado,Inadequado,324399
2010,15,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
2010,15,Rural,Semi-adequado,Adequado,Adequado,Inadequado,11609
2010,15,Rural,Semi-adequado,Adequado,Inadequado,Adequado,32521
2010,15,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,63601
2010,15,Rural,Semi-adequado,Inadequado,Adequado,Adequado,6029
2010,15,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,24303
2010,15,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,23209
2010,15,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,15,Urbano,Adequado,Adequado,Adequado,Adequado,323192
2010,15,Urbano,Adequado,Adequado,Adequado,Inadequado,0
2010,15,Urbano,Adequado,Adequado,Inadequado,Adequado,0
2010,15,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
2010,15,Urbano,Adequado,Inadequado,Adequado,Adequado,0
2010,15,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
2010,15,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
2010,15,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
2010,15,Urbano,Inadequado,Adequado,Adequado,Adequado,0
2010,15,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
2010,15,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
2010,15,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
2010,15,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
2010,15,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
2010,15,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
2010,15,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,103788
2010,15,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
2010,15,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,33061
2010,15,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,335317
2010,15,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,80857
2010,15,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,151957
2010,15,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,35159
2010,15,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,267707
2010,15,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,16,Rural,Adequado,Adequado,Adequado,Adequado,352
2010,16,Rural,Adequado,Adequado,Adequado,Inadequado,0
2010,16,Rural,Adequado,Adequado,Inadequado,Adequado,0
2010,16,Rural,Adequado,Adequado,Inadequado,Inadequado,0
2010,16,Rural,Adequado,Inadequado,Adequado,Adequado,0
2010,16,Rural,Adequado,Inadequado,Adequado,Inadequado,0
2010,16,Rural,Adequado,Inadequado,Inadequado,Adequado,0
2010,16,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
2010,16,Rural,Inadequado,Adequado,Adequado,Adequado,0
2010,16,Rural,Inadequado,Adequado,Adequado,Inadequado,0
2010,16,Rural,Inadequado,Adequado,Inadequado,Adequado,0
2010,16,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
2010,16,Rural,Inadequado,Inadequado,Adequado,Adequado,0
2010,16,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
2010,16,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
2010,16,Rural,Inadequado,Inadequado,Inadequado,Inadequado,9399
2010,16,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
2010,16,Rural,Semi-adequado,Adequado,Adequado,Inadequado,262
2010,16,Rural,Semi-adequado,Adequado,Inadequado,Adequado,1512
2010,16,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,1081
2010,16,Rural,Semi-adequado,Inadequado,Adequado,Adequado,269
2010,16,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,937
2010,16,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,703
2010,16,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,16,Urbano,Adequado,Adequado,Adequado,Adequado,19606
2010,16,Urbano,Adequado,Adequado,Adequado,Inadequado,0
2010,16,Urbano,Adequado,Adequado,Inadequado,Adequado,0
2010,16,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
2010,16,Urbano,Adequado,Inadequado,Adequado,Adequado,0
2010,16,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
2010,16,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
2010,16,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
2010,16,Urbano,Inadequado,Adequado,Adequado,Adequado,0
2010,16,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
2010,16,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
2010,16,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
2010,16,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
2010,16,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
2010,16,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
2010,16,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,7200
2010,16,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
2010,16,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,1514
2010,16,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,54539
2010,16,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,7457
2010,16,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,13391
2010,16,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,1473
2010,16,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,37253
2010,16,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,17,Rural,Adequado,Adequado,Adequado,Adequado,939
2010,17,Rural,Adequado,Adequado,Adequado,Inadequado,0
2010,17,Rural,Adequado,Adequado,Inadequado,Adequado,0
2010,17,Rural,Adequado,Adequado,Inadequado,Inadequado,0
2010,17,Rural,Adequado,Inadequado,Adequado,Adequado,0
2010,17,Rural,Adequado,Inadequado,Adequado,Inadequado,0
2010,17,Rural,Adequado,Inadequado,Inadequado,Adequado,0
2010,17,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
2010,17,Rural,Inadequado,Adequado,Adequado,Adequado,0
2010,17,Rural,Inadequado,Adequado,Adequado,Inadequado,0
2010,17,Rural,Inadequado,Adequado,Inadequado,Adequado,0
2010,17,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
2010,17,Rural,Inadequado,Inadequado,Adequado,Adequado,0
2010,17,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
2010,17,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
2010,17,Rural,Inadequado,Inadequado,Inadequado,Inadequado,36843
2010,17,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
2010,17,Rural,Semi-adequado,Adequado,Adequado,Inadequado,1006
2010,17,Rural,Semi-adequado,Adequado,Inadequado,Adequado,4116
2010,17,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,8481
2010,17,Rural,Semi-adequado,Inadequado,Adequado,Adequado,139
2010,17,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,4487
2010,17,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,779
2010,17,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,17,Urbano,Adequado,Adequado,Adequado,Adequado,100282
2010,17,Urbano,Adequado,Adequado,Adequado,Inadequado,0
2010,17,Urbano,Adequado,Adequado,Inadequado,Adequado,0
2010,17,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
2010,17,Urbano,Adequado,Inadequado,Adequado,Adequado,0
2010,17,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
2010,17,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
2010,17,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
2010,17,Urbano,Inadequado,Adequado,Adequado,Adequado,0
2010,17,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
2010,17,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
2010,17,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
2010,17,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
2010,17,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
2010,17,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
2010,17,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,4055
