UF,SITUACAO,ADEQUACAO,AGUA,ESGOTO,LIXO,n
13,Rural,Adequado,Inadequado,Adequado,Adequado,0
13,Rural,Adequado,Inadequado,Adequado,Inadequado,0
13,Rural,Adequado,Inadequado,Inadequado,Adequado,0
13,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
13,Rural,Inadequado,Adequado,Adequado,Adequado,0
13,Rural,Inadequado,Adequado,Adequado,Inadequado,0
13,Rural,Inadequado,Adequado,Inadequado,Adequado,0
13,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
13,Rural,Inadequado,Inadequado,Adequado,Adequado,0
13,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
13,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
13,Rural,Inadequado,Inadequado,Inadequado,Inadequado,421126
13,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
13,Rural,Semi-adequado,Adequado,Adequado,Inadequado,1165
13,Rural,Semi-adequado,Adequado,Inadequado,Adequado,45942
13,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,221670
13,Rural,Semi-adequado,Inadequado,Adequado,Adequado,0
13,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,0
13,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,4139
13,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
13,Urbano,Adequado,Adequado,Adequado,Adequado,1610330
13,Urbano,Adequado,Adequado,Adequado,Inadequado,0
13,Urbano,Adequado,Adequado,Inadequado,Adequado,0
13,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
13,Urbano,Adequado,Inadequado,Adequado,Adequado,0
13,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
13,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
13,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
13,Urbano,Inadequado,Adequado,Adequado,Adequado,0
13,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
13,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
13,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
13,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
13,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
13,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
13,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,37245
13,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
13,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,67237
13,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,1146060
13,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,351867
13,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,24805
13,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,0
13,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,51419
13,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
14,Rural,Adequado,Adequado,Adequado,Adequado,0
14,Rural,Adequado,Adequado,Adequado,Inadequado,0
14,Rural,Adequado,Adequado,Inadequado,Adequado,0
14,Rural,Adequado,Adequado,Inadequado,Inadequado,0
14,Rural,Adequado,Inadequado,Adequado,Adequado,0
14,Rural,Adequado,Inadequado,Adequado,Inadequado,0
14,Rural,Adequado,Inadequado,Inadequado,Adequado,0
14,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
14,Rural,Inadequado,Adequado,Adequado,Adequado,0
14,Rural,Inadequado,Adequado,Adequado,Inadequado,0
14,Rural,Inadequado,Adequado,Inadequado,Adequado,0
14,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
14,Rural,Inadequado,Inadequado,Adequado,Adequado,0
14,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
14,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
14,Rural,Inadequado,Inadequado,Inadequado,Inadequado,27404
14,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
14,Rural,Semi-adequado,Adequado,Adequado,Inadequado,848
14,Rural,Semi-adequado,Adequado,Inadequado,Adequado,18453
14,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,39457
14,Rural,Semi-adequado,Inadequado,Adequado,Adequado,0
14,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,0
14,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,1116
14,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
14,Urbano,Adequado,Adequado,Adequado,Adequado,195783
14,Urbano,Adequado,Adequado,Adequado,Inadequado,0
14,Urbano,Adequado,Adequado,Inadequado,Adequado,0
14,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
